ID,Volume,Area,Scanner,model.3D
Ca_1514,762.1557617,549.8701607,Artec.Micro,yes
Ca_1515,3384.741943,1882.468512,Artec.Micro,yes
Ca_1516,3430.317871,1554.960051,Artec.Micro,yes
Ca_1517,1080.287231,696.052213,Artec.Micro,yes
Ca_1518,2322.806885,1173.199299,Artec.Micro,yes
Ca_1519,1019.693909,683.9312047,Artec.Micro,yes
Ca_1520,941.3210449,634.870777,Artec.Micro,yes
Ca_1521,2676.099365,1301.132754,Artec.Micro,yes
Ca_1522,1758.616577,1072.691559,Artec.Micro,yes
Ca_1523,1529.051758,1032.703659,Artec.Micro,yes
Ca_1524,1745.268799,895.2197041,Artec.Micro,yes
Ca_1525,2035.922241,1089.03126,Artec.Micro,yes
Ca_1526,2927.208252,1352.707014,Artec.Micro,yes
Ca_1527,1442.835938,814.4264143,Artec.Micro,yes
Ca_1528,922.4997559,648.1758049,Artec.Micro,yes
Ca_1529,136.5961456,205.5684949,Artec.Micro,yes
Ca_1530,7153.506348,2243.016194,Artec.Micro,yes
Ca_1531,6108.395508,2251.108334,Artec.Micro,yes
Ca_1532,6352.922852,2191.784972,Artec.Micro,yes
Ca_1533,4730.017578,1784.76396,Artec.Micro,yes
Ca_1534,6870.780762,2224.378259,Artec.Micro,yes
Ca_1535,17088.49023,3740.131282,Artec.Micro,yes
Ca_1536,3873.097168,1539.600804,Artec.Micro,yes
Ca_1537,2476.556152,1091.593026,Artec.Micro,yes
Ca_1538,8677.043945,2414.651108,Artec.Micro,yes
Ca_1539,10834.14258,3118.548628,Artec.Micro,yes
Ca_1540,21856.32422,4792.75562,Artec.Micro,yes
Ca_1541,16532.08984,5037.783935,Artec.Micro,yes
Ca_689,10675.14746,2991.684901,Artec.Micro,yes
Ca_716,6610.796875,2266.952515,Artec.Micro,yes
Ca_759,3452.803467,1464.056646,Artec.Micro,yes
Ca_771,6766.644531,2124.397955,Artec.Micro,yes
Ca_855,4215.058594,1757.280232,Artec.Micro,yes
Ca_914,6885.767578,2339.888783,Artec.Micro,yes
