ID,Site,Sub-layer,Raw.material,Fire,Cortex,Cortex.position,Class,Blank,Blank.technology,Technology,Preservation,Length,Width,Thickness,Platform.width,Platform.thickness,Platform.type,Platform.shape,Dorsal.thinning,Bulb,Bulbar.scars,Bulb.type,Shattered.bulb,Lip,Lip.type,Knapping.technique,Curvature,Torsion,Section,Blank.shape,Scar.pattern,Scar.Pattern.2,Distal.end,Plunging,Bladelet.negatives,Typology,Typology.new,Typology.macro,Aurignacian.retouch,Retouch.position,Dorsal.retouch.localization,Ventral.retouch.localization,left_right,unilateral_bilateral,Angle.retouch.left,Angle.retouch.right,Angle.retouch.base.apex,Retouch.type.left,Retouch.type.right,Retouch.type.base.apex,Retouch.shape.left,Retouch.shape.right,Retouch.shape.base.apex,Max.retouch.length,Bulin.spalls.negative,Torsion.simplified,Platform_ratio,Robustness,Elongation,Volume,Area,Scanner,model.3D
Ca_31,Cala,AU12,Radiolarite,FALSE,0%,NA,Core-Tool,Flake,Optimal production,Optimal,Complete,17.60000038,34.5,26.60000038,11.60000038,5.699999809,Dihedral,Oval,FALSE,TRUE,FALSE,Pronounced,NA,TRUE,Moderate,NA,NA,NA,NA,NA,Unidirectional,Unidirectional parallel,NA,FALSE,FALSE,Endscraper carinated,Endscraper carinated,Endscraper,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.035087854,1.296992463,0.510144939,5687.731445,2058.973198,Artec.Spider,yes
Ca_32,Cala,AU12,Radiolarite,FALSE,33-66%,NA,Core-Tool,Other,Other,Other,Other,15.60000038,24.70000076,14.39999962,NA,NA,NA,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Endscraper carinated,Endscraper carinated,Endscraper,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.715277876,0.631578943,4608.467285,1774.11487,Artec.Spider,yes
Ca_33,Cala,AU12,Chert,FALSE,0%,NA,Core-Tool,Flake,Optimal production,Optimal,Complete,20.60000038,37,27.39999962,8.300000191,4.300000191,Plain,Oval,FALSE,TRUE,FALSE,Moderate,NA,FALSE,Absent,bipolar?,NA,NA,NA,NA,Unidirectional,Unidirectional parallel,NA,FALSE,FALSE,Rabot,Rabot,Rabot,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.930232517,1.350364982,0.556756767,6283.228027,2141.225346,Artec.Spider,yes
Ca_34,Cala,AU12,Chert,FALSE,33-66%,NA,Core-Tool,Other,Other,Other,Other,13.80000019,23.39999962,31.89999962,NA,NA,NA,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Endscraper carinated,Endscraper carinated,Endscraper,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.733542317,0.589743608,4379.596191,1696.60126,Artec.Spider,yes
Ca_35,Cala,AU12,Radiolarite,FALSE,66-99%,NA,Core-Tool,Flake,Cortical,Initialization,Complete,31.39999962,42.40000153,53.20000076,NA,NA,Undetermined,Undetermined,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,bipolar,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Endscraper thick-nosed,Endscraper thick-nosed,Endscraper,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.796992498,0.740566002,26491.27148,5656.688401,Artec.Spider,yes
Ca_36,Cala,AU12,Chert,FALSE,0%,NA,Core-Tool,Flake,Optimal production,Optimal,Distal,22.10000038,39.29999924,29.39999962,NA,NA,Undetermined,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Endscraper carinated,Endscraper carinated,Endscraper,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.336734685,0.562340988,4630.280273,1767.78051,Artec.Spider,yes
Ca_37,Cala,AU12,Unknown,TRUE,0%,NA,Tool,Flake,Optimal production,Optimal,Distal,28,19.89999962,9.199999809,NA,NA,NA,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Blade Aurignacian;Endscraper,Composite tool,Composite tool,yes,Direct,Continuous bilateral;Proximal,NA,NA,NA,NA,NA,NA,Stepped,Stepped,Lamellar;Stepped,NA,NA,NA,10.5,NA,NA,NA,2.163043482,1.407035203,2441.075684,1268.504242,Artec.Spider,yes
Ca_38,Cala,AU12,Radiolarite,FALSE,1-33%,NA,Core-Tool,Flake,Semi-cortical,Semi-cortical,Complete,15,24.29999924,23.5,3.900000095,2.700000048,Cortical,Oval,FALSE,TRUE,FALSE,Moderate,NA,FALSE,Absent,NA,NA,NA,NA,NA,Unidirectional,Unidirectional parallel,NA,FALSE,FALSE,Rabot,Rabot,Rabot,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.444444454,1.034042521,0.61728397,2796.625977,1215.795482,Artec.Spider,yes
Ca_39,Cala,AU12,Radiolarite,TRUE,0%,NA,Core-Tool,Flake,Optimal production,Optimal,Distal,11,21.79999924,21.5,NA,NA,NA,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,Unidirectional,Unidirectional parallel,NA,FALSE,FALSE,Endscraper carinated,Endscraper carinated,Endscraper,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.013953453,0.504587174,2102.728271,1066.526384,Artec.Spider,yes
Ca_40,Cala,AU12,Radiolarite,FALSE,0%,NA,Core-Tool,Flake,Undetermined,Undetermined,Undetermined,12.39999962,26.79999924,23.29999924,NA,NA,NA,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Endscraper carinated,Endscraper carinated,Endscraper,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.150214597,0.462686566,3247.829834,1546.61253,Artec.Spider,yes
Ca_41,Cala,AU12,Chert,FALSE,0%,NA,Core-Tool,Flake,Optimal production,Optimal,Distal,11.30000019,18.5,22.89999962,NA,NA,NA,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,Bidirectional,Bidirectional,NA,FALSE,FALSE,Burin carinated,Burin carinated,Burin,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.807860275,0.610810821,1409.106079,862.880662,Artec.Spider,yes
Ca_42,Cala,AU12,Chert,FALSE,0%,NA,Tool,Flake,Optimal production,Optimal,Complete,23.70000076,19.5,7.400000095,3,2,Plain,Oval,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,Unidirectional,Unidirectional parallel,NA,FALSE,FALSE,Endscraper flat-nosed,Endscraper flat-nosed,Endscraper,no,Direct,Continuous bilateral;Distal,NA,NA,NA,NA,NA,NA,NA,NA,Lamellar,NA,NA,NA,8,NA,NA,1.5,2.635135101,1.215384655,1281.744507,830.1436415,Artec.Spider,yes
Ca_43,Cala,AU11,Chert,FALSE,1-33%,NA,Core-Tool,Other,Other,Other,Other,20.5,29.29999924,22.10000038,NA,NA,NA,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Rabot,Rabot,Rabot,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.325791798,0.699658721,5794.444336,1976.943589,Artec.Spider,yes
